Article title,Authors,Doi,URL,source,reference,compound
Non-equilibrium reducing flame aerosol process to create supported high-entropy alloy nanoparticles. ,"Liu, S., Liang, J., Kaufman, J.L. et al. ",https://doi.org/10.1038/s41467-026-72958-9,https://link.springer.com/article/10.1038/s41467-026-72958-9,springer,10.1038-s41467-026-72958-9,
Entropy-Modulated Oxide–Metal Catalyst Architectures for Direct Ammonia Protonic Ceramic Fuel Cells.,"Kim, D., Park, D.J., Jeong, I. et al. ",https://doi.org/10.1007/s40820-026-02194-9,https://link.springer.com/article/10.1007/s40820-026-02194-9,springer,10.1007-s40820-026-02194-9,
Ambient hydrogenation of solid aromatics enabled by a high entropy alloy nanocatalyst. ,"Jing, Z., Guo, Y., Wang, Q. et al. ",https://doi.org/10.1038/s41467-024-50009-5,https://link.springer.com/article/10.1038/s41467-024-50009-5,springer,10.1038-s41467-024-50009-5,
Laser solid-phase synthesis of graphene shell-encapsulated high-entropy alloy nanoparticles.,"Liu, Y., Yuan, J., Zhou, J. et al. ",https://doi.org/10.1038/s41377-024-01614-y,https://link.springer.com/article/10.1038/s41377-024-01614-y,springer,10.1038-s41377-024-01614-y,
Electronic manifolds for extrapolative alloy discovery Open Access,Pranoy Ray; Sayan Bhowmik; Phanish Suryanarayana; Surya R Kalidindi; Andrew J. Medford,https://doi.org/10.1039/D6DD00105J,https://pubs.rsc.org/dd/article/doi/10.1039/D6DD00105J/1283984/Electronic-manifolds-for-extrapolative-alloy,rsc,10.1039-D6DD00105J,
Enhanced degradation of tetracycline (TC) by FeCoNiCuAl high-entropy alloy powders through ball milling,Hong Li;Lijuan Zhou;Hongjie Nie;Junwei Gui;Bowen Zhao,https://doi.org/10.1039/d6ra03618j,https://pubs.rsc.org/ra/article/doi/10.1039/d6ra03618j/1285805/Enhanced-degradation-of-tetracycline-TC-by,rsc,10.1039-d6ra03618j,
Influences of Ti and Mo alloying on the microstructure and properties of laser cladding for CoCrFeNi high-entropy alloys,"Guofu Lian, Jianghuai Yang, Changrong Chen, Xu Huang , Meiyan Feng",https://doi.org/10.1016/j.jmrt.2024.11.250,https://www.sciencedirect.com/science/article/pii/S2238785424027789,elsevier,10.1016-j.jmrt.2024.11.250,
